,Country,Continent,Region,Development,total immigration,1980s immigration,1990s immigration,2000s immigration
118,Myanmar,Asia,South-Eastern Asia,Developing regions,9245.0,466.0,1370.0,6030.0
119,Namibia,Africa,Southern Africa,Developing regions,320.0,26.0,26.0,122.0
120,Nauru,Oceania,Micronesia,Developing regions,18.0,2.0,1.0,14.0
121,Nepal,Asia,Southern Asia,Developing regions,10222.0,51.0,769.0,4388.0
122,Netherlands,Europe,Western Europe,Developed regions,26884.0,10228.0,6857.0,7555.0
123,New Caledonia,Oceania,Melanesia,Developing regions,5.0,0.0,0.0,3.0
124,New Zealand,Oceania,Australia and New Zealand,Developed regions,10386.0,2719.0,2344.0,3626.0
125,Nicaragua,Latin America and the Caribbean,Central America,Developing regions,12095.0,4132.0,6581.0,963.0
126,Niger,Africa,Western Africa,Developing regions,952.0,7.0,86.0,489.0
127,Nigeria,Africa,Western Africa,Developing regions,39732.0,993.0,5052.0,19063.0
128,Norway,Europe,Northern Europe,Developed regions,2327.0,720.0,718.0,682.0
129,Oman,Asia,Western Asia,Developing regions,224.0,12.0,50.0,114.0
130,Pakistan,Asia,Southern Asia,Developing regions,241600.0,10591.0,65302.0,127598.0
131,Palau,Oceania,Micronesia,Developing regions,1.0,0.0,0.0,1.0
132,Panama,Latin America and the Caribbean,Central America,Developing regions,3161.0,244.0,2173.0,553.0
133,Papua New Guinea,Oceania,Melanesia,Developing regions,64.0,17.0,16.0,22.0
134,Paraguay,Latin America and the Caribbean,South America,Developing regions,1944.0,434.0,488.0,729.0
135,Peru,Latin America and the Caribbean,South America,Developing regions,32652.0,6424.0,10206.0,12384.0
136,Philippines,Asia,South-Eastern Asia,Developing regions,511391.0,60764.0,138482.0,172904.0
137,Poland,Europe,Eastern Europe,Developed regions,139241.0,57602.0,64864.0,13629.0
138,Portugal,Europe,Southern Europe,Developed regions,74167.0,40432.0,26904.0,4484.0
139,Qatar,Asia,Western Asia,Developing regions,157.0,2.0,43.0,71.0
140,Republic of Korea,Asia,Eastern Asia,Developing regions,142581.0,16259.0,38189.0,68183.0
141,Republic of Moldova,Europe,Eastern Europe,Developed regions,15381.0,0.0,1527.0,7852.0
142,Romania,Europe,Eastern Europe,Developed regions,93585.0,7613.0,33659.0,45515.0
143,Russian Federation,Europe,Eastern Europe,Developed regions,63344.0,0.0,19013.0,35535.0
144,Rwanda,Africa,Eastern Africa,Developing regions,6691.0,62.0,1360.0,3404.0
145,Saint Kitts and Nevis,Latin America and the Caribbean,Caribbean,Developing regions,653.0,225.0,245.0,110.0
146,Saint Lucia,Latin America and the Caribbean,Caribbean,Developing regions,4802.0,848.0,994.0,1676.0
147,Saint Vincent and the Grenadines,Latin America and the Caribbean,Caribbean,Developing regions,9707.0,1724.0,2487.0,3550.0
148,Samoa,Oceania,Polynesia,Developing regions,78.0,23.0,25.0,20.0
149,San Marino,Europe,Southern Europe,Developed regions,5.0,2.0,1.0,1.0
150,Sao Tome and Principe,Africa,Middle Africa,Developing regions,10.0,0.0,2.0,5.0
151,Saudi Arabia,Asia,Western Asia,Developing regions,3425.0,90.0,585.0,1589.0
152,Senegal,Africa,Western Africa,Developing regions,7362.0,135.0,809.0,3146.0
153,Serbia,Europe,Southern Europe,Developed regions,1939.0,0.0,0.0,677.0
154,Seychelles,Africa,Eastern Africa,Developing regions,1266.0,117.0,998.0,120.0
155,Sierra Leone,Africa,Western Africa,Developing regions,3351.0,158.0,461.0,2438.0
156,Singapore,Asia,South-Eastern Asia,Developing regions,14579.0,3969.0,4612.0,4687.0
157,Slovakia,Europe,Eastern Europe,Developed regions,5963.0,0.0,1617.0,3836.0
158,Slovenia,Europe,Southern Europe,Developed regions,523.0,0.0,237.0,205.0
159,Somalia,Africa,Eastern Africa,Developing regions,42109.0,905.0,23103.0,11428.0
160,South Africa,Africa,Southern Africa,Developing regions,40568.0,8679.0,14019.0,13190.0
161,Spain,Europe,Southern Europe,Developed regions,5018.0,1740.0,1100.0,1232.0
162,Sri Lanka,Asia,Southern Asia,Developing regions,148358.0,14796.0,70421.0,49678.0
163,State of Palestine,Asia,Western Asia,Developing regions,6512.0,0.0,360.0,3948.0
164,Sudan,Africa,Northern Africa,Developing regions,18506.0,357.0,4950.0,11269.0
165,Suriname,Latin America and the Caribbean,South America,Developing regions,739.0,172.0,352.0,171.0
166,Swaziland,Africa,Southern Africa,Developing regions,188.0,36.0,32.0,48.0
167,Sweden,Europe,Northern Europe,Developed regions,5866.0,2011.0,1652.0,1630.0
168,Switzerland,Europe,Western Europe,Developed regions,15678.0,5151.0,6198.0,3334.0
169,Syrian Arab Republic,Asia,Western Asia,Developing regions,31485.0,5799.0,11340.0,10643.0
170,Tajikistan,Asia,Central Asia,Developing regions,503.0,0.0,36.0,295.0
171,Thailand,Asia,South-Eastern Asia,Developing regions,9174.0,954.0,2091.0,4538.0
172,The former Yugoslav Republic of Macedonia,Europe,Southern Europe,Developed regions,4637.0,0.0,978.0,3103.0
173,Togo,Africa,Western Africa,Developing regions,3545.0,82.0,416.0,1817.0
174,Tonga,Oceania,Polynesia,Developing regions,142.0,41.0,60.0,26.0
175,Trinidad and Tobago,Latin America and the Caribbean,Caribbean,Developing regions,50016.0,12851.0,25719.0,8930.0
176,Tunisia,Africa,Northern Africa,Developing regions,17583.0,840.0,2718.0,8154.0
177,Turkey,Asia,Western Asia,Developing regions,31781.0,4369.0,8680.0,14186.0
178,Turkmenistan,Asia,Central Asia,Developing regions,310.0,0.0,24.0,202.0
179,Tuvalu,Oceania,Polynesia,Developing regions,8.0,3.0,1.0,3.0
180,Uganda,Africa,Eastern Africa,Developing regions,3450.0,362.0,707.0,1524.0
181,Ukraine,Europe,Eastern Europe,Developed regions,51410.0,0.0,14644.0,26340.0
182,United Arab Emirates,Asia,Western Asia,Developing regions,836.0,34.0,198.0,358.0
183,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,Developed regions,551500.0,179171.0,261966.0,83413.0
184,United Republic of Tanzania,Africa,Eastern Africa,Developing regions,12496.0,5630.0,3490.0,2555.0
185,United States of America,Northern America,Northern America,Developed regions,241122.0,76824.0,56915.0,75173.0
186,Uruguay,Latin America and the Caribbean,South America,Developing regions,4715.0,1342.0,1833.0,1261.0
187,Uzbekistan,Asia,Central Asia,Developing regions,3368.0,0.0,459.0,2056.0
188,Vanuatu,Oceania,Melanesia,Developing regions,11.0,0.0,5.0,6.0
189,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,South America,Developing regions,21267.0,1816.0,4826.0,9780.0
190,Viet Nam,Asia,South-Eastern Asia,Developing regions,97146.0,30638.0,37726.0,21274.0
191,Western Sahara,Africa,Northern Africa,Developing regions,2.0,0.0,1.0,1.0
192,Yemen,Asia,Western Asia,Developing regions,2985.0,72.0,756.0,1395.0
193,Zambia,Africa,Eastern Africa,Developing regions,1677.0,221.0,548.0,632.0
194,Zimbabwe,Africa,Eastern Africa,Developing regions,8598.0,790.0,667.0,5369.0
195,Unknown,World,World,World,515059.0,201844.0,249985.0,53780.0
